Defect count,Defect ratio,Resistance (R0)
0.0,0.0,1.5018369049810438
10.0,0.0004925865720900449,1.5038122300767813
20.0,0.0009851731441800897,1.505785497405918
30.0,0.0014777597162701345,1.5077631417440578
40.0,0.0019703462883601795,1.509762740996617
50.0,0.0024629328604502242,1.51178318362657
60.0,0.002955519432540269,1.513816469891902
70.0,0.0034481060046303138,1.515832277061377
80.0,0.003940692576720359,1.5178328385380517
90.0,0.004433279148810403,1.5198770392988965
100.0,0.0049258657209004485,1.5219201187511624
110.0,0.005418452292990493,1.523963799216589
120.0,0.005911038865080538,1.525964931925096
130.0,0.006403625437170582,1.5279302495898779
140.0,0.0068962120092606275,1.5299741244267877
150.0,0.007388798581350673,1.531957171192477
160.0,0.007881385153440718,1.5339840972476368
170.0,0.008373971725530761,1.5360655789167463
180.0,0.008866558297620807,1.5380622321055368
190.0,0.009359144869710852,1.540090850484677
200.0,0.009851731441800897,1.5421126822372142
210.0,0.010344318013890942,1.5441565895299363
220.0,0.010836904585980986,1.5462287254086917
230.0,0.01132949115807103,1.5483312066681887
240.0,0.011822077730161076,1.5504837796337638
250.0,0.012314664302251121,1.5524878947138163
260.0,0.012807250874341165,1.554621570443464
270.0,0.01329983744643121,1.5566826622766359
280.0,0.013792424018521255,1.5588057893607263
290.0,0.0142850105906113,1.5608321680198347
300.0,0.014777597162701345,1.5629255143772294
310.0,0.015270183734791389,1.5649685731321907
320.0,0.015762770306881436,1.5670676864112256
330.0,0.016255356878971478,1.5691674670399716
340.0,0.016747943451061523,1.5712844509904484
350.0,0.017240530023151568,1.573416495862096
360.0,0.017733116595241613,1.5756613433433264
370.0,0.01822570316733166,1.5777348015286332
380.0,0.018718289739421703,1.5797983250882508
390.0,0.01921087631151175,1.5818840425712153
400.0,0.019703462883601794,1.584069366989038
410.0,0.02019604945569184,1.5861585085330447
420.0,0.020688636027781884,1.5882673845967954
430.0,0.021181222599871926,1.5904045612131792
440.0,0.02167380917196197,1.5925149267239795
450.0,0.022166395744052016,1.594713664572148
460.0,0.02265898231614206,1.5968504416196818
470.0,0.023151568888232107,1.5989342026763227
480.0,0.023644155460322152,1.601065971876164
490.0,0.024136742032412197,1.6032597107613131
500.0,0.024629328604502242,1.6055142444994104
510.0,0.025121915176592288,1.6077016813475675
520.0,0.02561450174868233,1.6098810297044759
530.0,0.026107088320772374,1.6121326215583822
540.0,0.02659967489286242,1.614415225361067
550.0,0.027092261464952465,1.6165378238718757
560.0,0.02758484803704251,1.618769177917704
570.0,0.028077434609132555,1.621020500909662
580.0,0.0285700211812226,1.6232140641866204
590.0,0.029062607753312646,1.6254189270801975
600.0,0.02955519432540269,1.6275836582920122
610.0,0.030047780897492736,1.6297946599845636
620.0,0.030540367469582778,1.6320125985075402
630.0,0.031032954041672823,1.6342734719090815
640.0,0.03152554061376287,1.6364527565358937
650.0,0.03201812718585292,1.6387940416944655
660.0,0.032510713757942955,1.6410307290407666
670.0,0.033003300330033,1.6432822274166305
680.0,0.033495886902123045,1.6455397603035253
690.0,0.03398847347421309,1.6477279534995872
700.0,0.034481060046303136,1.6498920486760935
710.0,0.03497364661839318,1.652206890093631
720.0,0.035466233190483226,1.654535602925493
730.0,0.03595881976257327,1.6569062645740849
740.0,0.03645140633466332,1.6591003493372116
750.0,0.03694399290675336,1.6614138703651706
760.0,0.03743657947884341,1.6637141515924223
770.0,0.03792916605093345,1.6660857096863035
780.0,0.0384217526230235,1.6684969642236374
790.0,0.03891433919511354,1.6708538599241696
800.0,0.03940692576720359,1.673221243065736
810.0,0.03989951233929363,1.6755148489512761
820.0,0.04039209891138368,1.6779233855157094
830.0,0.04088468548347372,1.680240092614961
840.0,0.04137727205556377,1.6825840942401538
850.0,0.04186985862765381,1.6847344257169221
860.0,0.04236244519974385,1.6870788792174314
870.0,0.0428550317718339,1.6892784553015534
880.0,0.04334761834392394,1.6916327301150984
890.0,0.04384020491601399,1.6939970618297822
900.0,0.04433279148810403,1.6963109458672239
910.0,0.04482537806019408,1.6985564168895935
920.0,0.04531796463228412,1.701141539069225
930.0,0.04581055120437417,1.703472356865848
940.0,0.046303137776464214,1.7058543289465942
950.0,0.04679572434855426,1.7082315096820218
960.0,0.047288310920644304,1.710540916618189
970.0,0.04778089749273435,1.7129937672020437
980.0,0.048273484064824394,1.7152942044313884
990.0,0.04876607063691444,1.7175831901095977
1000.0,0.049258657209004485,1.7200449795529666
1010.0,0.04975124378109453,1.7224292749012722
1020.0,0.050243830353184575,1.7248146831028088
1030.0,0.05073641692527462,1.727167289987546
1040.0,0.05122900349736466,1.729619590052366
1050.0,0.051721590069454704,1.7320607334338043
1060.0,0.05221417664154475,1.734479596260513
1070.0,0.052706763213634794,1.7370525050953924
1080.0,0.05319934978572484,1.7395587826253482
1090.0,0.053691936357814884,1.7419956856593124
1100.0,0.05418452292990493,1.7444617797211104
1110.0,0.054677109501994975,1.7468995600243251
1120.0,0.05516969607408502,1.749450776984545
1130.0,0.055662282646175065,1.751928305298265
1140.0,0.05615486921826511,1.7543476305784607
1150.0,0.056647455790355156,1.756786691941443
1160.0,0.0571400423624452,1.759332526548142
1170.0,0.057632628934535246,1.7617511708124058
1180.0,0.05812521550662529,1.7641156383983716
1190.0,0.058617802078715336,1.7667512658861413
1200.0,0.05911038865080538,1.7692465810851328
1210.0,0.05960297522289543,1.7717813393858308
1220.0,0.06009556179498547,1.7742815556908103
1230.0,0.06058814836707551,1.7768826086157623
1240.0,0.061080734939165555,1.7792498717352936
1250.0,0.0615733215112556,1.7819177280804217
