Defect count,Defect ratio,Resistance (R0)
0.0,0.0,1.5018369049810532
5.0,0.00024629328604502243,1.5033364378166025
10.0,0.0004925865720900449,1.5048523332916592
15.0,0.0007388798581350672,1.5063550544514128
20.0,0.0009851731441800897,1.5078880974747289
25.0,0.0012314664302251121,1.5093804456777304
30.0,0.0014777597162701345,1.5108991721496234
35.0,0.0017240530023151569,1.512408203740967
40.0,0.0019703462883601795,1.5139977265429012
45.0,0.0022166395744052016,1.515486098475329
50.0,0.0024629328604502242,1.5169883276516203
55.0,0.0027092261464952464,1.5185421625722293
60.0,0.002955519432540269,1.5200240626680865
65.0,0.003201812718585291,1.5215559978045468
70.0,0.0034481060046303138,1.5230667636214048
75.0,0.0036943992906753364,1.5246283346565483
80.0,0.003940692576720359,1.5261640268871821
85.0,0.004186985862765381,1.5277047567261546
90.0,0.004433279148810403,1.5292044487581717
95.0,0.004679572434855426,1.5307199123400406
100.0,0.0049258657209004485,1.532259754234444
105.0,0.005172159006945471,1.533765822342357
110.0,0.005418452292990493,1.535329665637596
115.0,0.005664745579035515,1.5368350920876965
120.0,0.005911038865080538,1.5383446811783963
125.0,0.006157332151125561,1.5398690166646847
130.0,0.006403625437170582,1.5413588057477619
135.0,0.006649918723215605,1.5429175767158363
140.0,0.0068962120092606275,1.5444793374836547
145.0,0.00714250529530565,1.5461046293647285
150.0,0.007388798581350673,1.5477138783609443
155.0,0.007635091867395694,1.5492765316097445
160.0,0.007881385153440718,1.5508399874958383
165.0,0.008127678439485739,1.5523802083783345
170.0,0.008373971725530761,1.5540139511870954
175.0,0.008620265011575784,1.5556172202119216
180.0,0.008866558297620807,1.5571806174909437
185.0,0.00911285158366583,1.5587691945411175
190.0,0.009359144869710852,1.5603638889361304
195.0,0.009605438155755874,1.5619347423741323
200.0,0.009851731441800897,1.5635464743395977
205.0,0.01009802472784592,1.56510915622593
210.0,0.010344318013890942,1.5666789062797761
215.0,0.010590611299935963,1.5682989379868537
220.0,0.010836904585980986,1.5698620154147287
225.0,0.011083197872026008,1.571486959257072
230.0,0.01132949115807103,1.5730148298027464
235.0,0.011575784444116053,1.574607746938592
240.0,0.011822077730161076,1.576279726737872
245.0,0.012068371016206099,1.577893898448191
250.0,0.012314664302251121,1.5795799733563596
255.0,0.012560957588296144,1.5811612316064971
260.0,0.012807250874341165,1.5828478740402459
265.0,0.013053544160386187,1.5845256193106312
270.0,0.01329983744643121,1.586211841561329
275.0,0.013546130732476232,1.5878459885278768
280.0,0.013792424018521255,1.589434471296618
285.0,0.014038717304566278,1.5910676547100966
290.0,0.0142850105906113,1.5927023466964867
295.0,0.014531303876656323,1.5944585285058208
300.0,0.014777597162701345,1.5961634172812258
305.0,0.015023890448746368,1.5978311052681968
310.0,0.015270183734791389,1.5996024563085174
315.0,0.015516477020836411,1.6012162826599707
320.0,0.015762770306881436,1.6028592912848376
325.0,0.01600906359292646,1.6046233515500363
330.0,0.016255356878971478,1.6062179541324375
335.0,0.0165016501650165,1.607946146531106
340.0,0.016747943451061523,1.6097703312560487
345.0,0.016994236737106545,1.6114241385740824
350.0,0.017240530023151568,1.613002587367388
355.0,0.01748682330919659,1.6146997280576576
360.0,0.017733116595241613,1.616386120206844
365.0,0.017979409881286636,1.6181778985498723
370.0,0.01822570316733166,1.6200634493968618
375.0,0.01847199645337668,1.621657211018539
380.0,0.018718289739421703,1.6233097686695765
385.0,0.018964583025466726,1.624942018101934
390.0,0.01921087631151175,1.6267557611653038
395.0,0.01945716959755677,1.628386580898485
400.0,0.019703462883601794,1.6301335261598653
405.0,0.019949756169646816,1.6317565525357998
410.0,0.02019604945569184,1.6333927480442874
415.0,0.02044234274173686,1.635163180408428
420.0,0.020688636027781884,1.636954756994959
425.0,0.020934929313826903,1.6387784614659238
430.0,0.021181222599871926,1.6405599655475402
435.0,0.02142751588591695,1.642309551384572
440.0,0.02167380917196197,1.6440625409160317
445.0,0.021920102458006994,1.6458840080680732
450.0,0.022166395744052016,1.6475970340119725
455.0,0.02241268903009704,1.6493509716909531
460.0,0.02265898231614206,1.65092957095683
465.0,0.022905275602187084,1.6526537983597653
470.0,0.023151568888232107,1.6543651208875092
475.0,0.02339786217427713,1.656121139931169
480.0,0.023644155460322152,1.6579381284308554
485.0,0.023890448746367175,1.65987235645842
490.0,0.024136742032412197,1.6615152281179317
495.0,0.02438303531845722,1.6631832726676514
500.0,0.024629328604502242,1.664931784051718
505.0,0.024875621890547265,1.66666028591212
510.0,0.025121915176592288,1.6685585718512674
515.0,0.02536820846263731,1.6703302421094306
520.0,0.02561450174868233,1.6721591914077927
525.0,0.025860795034727352,1.6740388463504763
530.0,0.026107088320772374,1.6758402301263424
535.0,0.026353381606817397,1.6775648639160556
540.0,0.02659967489286242,1.6796134720175295
545.0,0.026845968178907442,1.6813442384346389
550.0,0.027092261464952465,1.6832152645515321
555.0,0.027338554750997487,1.685126999327921
560.0,0.02758484803704251,1.6870168772172287
565.0,0.027831141323087533,1.688779850367543
570.0,0.028077434609132555,1.6905982422985448
575.0,0.028323727895177578,1.692556091554031
580.0,0.0285700211812226,1.694328241707671
585.0,0.028816314467267623,1.6960589645994875
590.0,0.029062607753312646,1.698073803948047
595.0,0.029308901039357668,1.6998397349465888
600.0,0.02955519432540269,1.7016637966216486
605.0,0.029801487611447713,1.7034430203786315
610.0,0.030047780897492736,1.7053033194605056
615.0,0.030294074183537755,1.707168317017119
620.0,0.030540367469582778,1.7091540723154253
625.0,0.0307866607556278,1.7111427215690422
630.0,0.031032954041672823,1.7131103868417483
